date,court,time,status,rate
2026-09-25,Court 270c,11:00,unknown,
2026-09-25,Court 270c,11:30,unknown,
2026-09-25,Court 270c,12:00,unknown,
2026-09-25,Court 270c,12:30,unknown,
2026-09-25,Court 270c,13:00,unknown,
2026-09-25,Court 270c,13:30,unknown,
2026-09-25,Court 270c,14:00,unknown,
2026-09-25,Court 270c,14:30,unknown,
2026-09-25,Court 270c,15:00,unknown,
2026-09-25,Court 270c,15:30,unknown,
2026-09-25,Court 270c,16:00,unknown,
2026-09-25,Court 270c,16:30,unknown,
2026-09-25,Court 270c,17:00,unknown,
2026-09-25,Court 270c,17:30,unknown,
2026-09-25,Court 270c,18:00,never,
2026-09-25,Court 270c,18:30,never,
2026-09-25,Court 270c,19:00,never,
2026-09-25,Court 270c,19:30,never,
2026-09-25,Court 270c,20:00,never,
2026-09-25,Court 270c,20:30,never,
2026-09-25,Court 270c,21:00,never,
2026-09-25,Court 270c,21:30,never,
2026-09-25,Court 270c,22:00,never,
2026-09-25,Court 270c,22:30,never,
2026-09-25,Court 270c,23:00,sold,25.0
2026-09-25,Court 270c,23:30,sold,25.0
2026-09-25,Court 5159,06:00,unknown,
2026-09-25,Court 5159,06:30,unknown,
2026-09-25,Court 5159,07:00,unknown,
2026-09-25,Court 5159,07:30,unknown,
2026-09-25,Court 5159,08:00,unknown,
2026-09-25,Court 5159,08:30,unknown,
2026-09-25,Court 5159,09:00,unknown,
2026-09-25,Court 5159,09:30,unknown,
2026-09-25,Court 5159,10:00,unknown,
2026-09-25,Court 5159,10:30,unknown,
2026-09-25,Court 5159,11:00,unknown,
2026-09-25,Court 5159,11:30,unknown,
2026-09-25,Court 5159,12:00,unknown,
2026-09-25,Court 5159,12:30,unknown,
2026-09-25,Court 5159,13:00,unknown,
2026-09-25,Court 5159,13:30,unknown,
2026-09-25,Court 5159,14:00,unknown,
2026-09-25,Court 5159,14:30,unknown,
2026-09-25,Court 5159,15:00,unknown,
2026-09-25,Court 5159,15:30,unknown,
2026-09-25,Court 5159,16:00,unknown,
2026-09-25,Court 5159,16:30,unknown,
2026-09-25,Court 5159,17:00,unknown,
2026-09-25,Court 5159,17:30,unknown,
2026-09-25,Court 5159,18:00,never,
2026-09-25,Court 5159,18:30,never,
2026-09-25,Court 5159,19:00,never,
2026-09-25,Court 5159,19:30,never,
2026-09-25,Court 5159,20:00,never,
2026-09-25,Court 5159,20:30,never,
2026-09-25,Court 5159,21:00,never,
2026-09-25,Court 5159,21:30,never,
2026-09-25,Court 5159,22:00,never,
2026-09-25,Court 5159,22:30,free,25.0
2026-09-25,Court 5159,23:00,sold,25.0
2026-09-25,Court 5159,23:30,sold,25.0
2026-09-25,Court 6a58,06:00,unknown,
2026-09-25,Court 6a58,06:30,unknown,
2026-09-25,Court 6a58,07:00,unknown,
2026-09-25,Court 6a58,07:30,unknown,
2026-09-25,Court 6a58,08:00,unknown,
2026-09-25,Court 6a58,08:30,unknown,
2026-09-25,Court 6a58,09:00,unknown,
2026-09-25,Court 6a58,09:30,unknown,
2026-09-25,Court 6a58,10:00,unknown,
2026-09-25,Court 6a58,10:30,unknown,
2026-09-25,Court 6a58,11:00,unknown,
2026-09-25,Court 6a58,11:30,unknown,
2026-09-25,Court 6a58,12:00,unknown,
2026-09-25,Court 6a58,12:30,unknown,
2026-09-25,Court 6a58,13:00,unknown,
2026-09-25,Court 6a58,13:30,unknown,
2026-09-25,Court 6a58,14:00,unknown,
2026-09-25,Court 6a58,14:30,unknown,
2026-09-25,Court 6a58,15:00,unknown,
2026-09-25,Court 6a58,15:30,unknown,
2026-09-25,Court 6a58,16:00,unknown,
2026-09-25,Court 6a58,16:30,unknown,
2026-09-25,Court 6a58,17:00,unknown,
2026-09-25,Court 6a58,17:30,unknown,
2026-09-25,Court 6a58,18:00,never,
2026-09-25,Court 6a58,18:30,never,
2026-09-25,Court 6a58,19:00,never,
2026-09-25,Court 6a58,19:30,never,
2026-09-25,Court 6a58,20:00,never,
2026-09-25,Court 6a58,20:30,never,
2026-09-25,Court 6a58,21:00,never,
2026-09-25,Court 6a58,21:30,never,
2026-09-25,Court 6a58,22:00,never,
2026-09-25,Court 6a58,22:30,never,
2026-09-25,Court 6a58,23:00,never,
2026-09-25,Court 6a58,23:30,never,
2026-09-25,Court 8545,06:00,unknown,
2026-09-25,Court 8545,06:30,unknown,
2026-09-25,Court 8545,07:00,unknown,
2026-09-25,Court 8545,07:30,unknown,
2026-09-25,Court 8545,08:00,unknown,
2026-09-25,Court 8545,08:30,unknown,
2026-09-25,Court 8545,09:00,unknown,
2026-09-25,Court 8545,09:30,unknown,
2026-09-25,Court 8545,10:00,unknown,
2026-09-25,Court 8545,10:30,unknown,
2026-09-25,Court 8545,11:00,unknown,
2026-09-25,Court 8545,11:30,unknown,
2026-09-25,Court 8545,12:00,unknown,
2026-09-25,Court 8545,12:30,unknown,
2026-09-25,Court 8545,13:00,unknown,
2026-09-25,Court 8545,13:30,unknown,
2026-09-25,Court 8545,14:00,unknown,
2026-09-25,Court 8545,14:30,unknown,
2026-09-25,Court 8545,15:00,unknown,
2026-09-25,Court 8545,15:30,unknown,
2026-09-25,Court 8545,16:00,unknown,
2026-09-25,Court 8545,16:30,unknown,
2026-09-25,Court 8545,17:00,unknown,
2026-09-25,Court 8545,17:30,unknown,
2026-09-25,Court 8545,18:00,never,
2026-09-25,Court 8545,18:30,never,
2026-09-25,Court 8545,19:00,never,
2026-09-25,Court 8545,19:30,never,
2026-09-25,Court 8545,20:00,never,
2026-09-25,Court 8545,20:30,never,
2026-09-25,Court 8545,21:00,never,
2026-09-25,Court 8545,21:30,never,
2026-09-25,Court 8545,22:00,never,
2026-09-25,Court 8545,22:30,free,25.0
2026-09-25,Court 8545,23:00,sold,25.0
2026-09-25,Court 8545,23:30,sold,25.0
2026-09-25,Court beb6,06:00,unknown,
2026-09-25,Court beb6,06:30,unknown,
2026-09-25,Court beb6,07:00,unknown,
2026-09-25,Court beb6,07:30,unknown,
2026-09-25,Court beb6,08:00,unknown,
2026-09-25,Court beb6,08:30,unknown,
2026-09-25,Court beb6,09:00,unknown,
2026-09-25,Court beb6,09:30,unknown,
2026-09-25,Court beb6,10:00,unknown,
2026-09-25,Court beb6,10:30,unknown,
2026-09-25,Court beb6,11:00,unknown,
2026-09-25,Court beb6,11:30,unknown,
2026-09-25,Court beb6,12:00,unknown,
2026-09-25,Court beb6,12:30,unknown,
2026-09-25,Court beb6,13:00,unknown,
2026-09-25,Court beb6,13:30,unknown,
