date,court,time,status,rate
2026-09-25,Court 793e,15:00,unknown,
2026-09-25,Court 793e,15:30,unknown,
2026-09-25,Court 793e,16:00,unknown,
2026-09-25,Court 793e,16:30,unknown,
2026-09-25,Court 793e,17:00,unknown,
2026-09-25,Court 793e,17:30,unknown,
2026-09-25,Court 793e,18:00,never,
2026-09-25,Court 793e,18:30,never,
2026-09-25,Court 793e,19:00,never,
2026-09-25,Court 793e,19:30,never,
2026-09-25,Court 793e,20:00,never,
2026-09-25,Court 793e,20:30,never,
2026-09-25,Court 793e,21:00,never,
2026-09-25,Court 793e,21:30,never,
2026-09-25,Court 793e,22:00,never,
2026-09-25,Court 793e,22:30,never,
2026-09-25,Court ca27,08:00,unknown,
2026-09-25,Court ca27,08:30,unknown,
2026-09-25,Court ca27,09:00,unknown,
2026-09-25,Court ca27,09:30,unknown,
2026-09-25,Court ca27,10:00,unknown,
2026-09-25,Court ca27,10:30,unknown,
2026-09-25,Court ca27,11:00,unknown,
2026-09-25,Court ca27,11:30,unknown,
2026-09-25,Court ca27,12:00,unknown,
2026-09-25,Court ca27,12:30,unknown,
2026-09-25,Court ca27,13:00,unknown,
2026-09-25,Court ca27,13:30,unknown,
2026-09-25,Court ca27,14:00,unknown,
2026-09-25,Court ca27,14:30,unknown,
2026-09-25,Court ca27,15:00,unknown,
2026-09-25,Court ca27,15:30,unknown,
2026-09-25,Court ca27,16:00,unknown,
2026-09-25,Court ca27,16:30,unknown,
2026-09-25,Court ca27,17:00,unknown,
2026-09-25,Court ca27,17:30,unknown,
2026-09-25,Court ca27,18:00,never,
2026-09-25,Court ca27,18:30,never,
2026-09-25,Court ca27,19:00,never,
2026-09-25,Court ca27,19:30,never,
2026-09-25,Court ca27,20:00,never,
2026-09-25,Court ca27,20:30,never,
2026-09-25,Court ca27,21:00,never,
2026-09-25,Court ca27,21:30,never,
2026-09-25,Court ca27,22:00,never,
2026-09-25,Court ca27,22:30,never,
2026-09-25,Court ee5c,08:00,unknown,
2026-09-25,Court ee5c,08:30,unknown,
2026-09-25,Court ee5c,09:00,unknown,
2026-09-25,Court ee5c,09:30,unknown,
2026-09-25,Court ee5c,10:00,unknown,
2026-09-25,Court ee5c,10:30,unknown,
2026-09-25,Court ee5c,11:00,unknown,
2026-09-25,Court ee5c,11:30,unknown,
2026-09-25,Court ee5c,12:00,unknown,
2026-09-25,Court ee5c,12:30,unknown,
2026-09-25,Court ee5c,13:00,unknown,
2026-09-25,Court ee5c,13:30,unknown,
2026-09-25,Court ee5c,14:00,unknown,
2026-09-25,Court ee5c,14:30,unknown,
2026-09-25,Court ee5c,15:00,unknown,
2026-09-25,Court ee5c,15:30,unknown,
2026-09-25,Court ee5c,16:00,unknown,
2026-09-25,Court ee5c,16:30,unknown,
2026-09-25,Court ee5c,17:00,unknown,
2026-09-25,Court ee5c,17:30,unknown,
2026-09-25,Court ee5c,18:00,never,
2026-09-25,Court ee5c,18:30,never,
2026-09-25,Court ee5c,19:00,never,
2026-09-25,Court ee5c,19:30,never,
2026-09-25,Court ee5c,20:00,never,
2026-09-25,Court ee5c,20:30,never,
2026-09-25,Court ee5c,21:00,never,
2026-09-25,Court ee5c,21:30,never,
2026-09-25,Court ee5c,22:00,never,
2026-09-25,Court ee5c,22:30,never,
